Regions,RandomForest,CatBoost,XGBoost,SUM 
rightCheek,1.029908991,0.892500928,0.76079139,2.683201309
leftCheek,0.787695241,0.773957196,0.59952478,2.161177217
lipsUpperOuter,0.395384609,0.654808907,0.418345928,1.468539444
lipsUpperInner,0.329450459,0.356087307,0.227311477,0.912849243
lipsLowerInner,0.294918783,0.32393291,0.1762907,0.795142393
lipsLowerOuter,0.27504774,0.25755647,0.22919453,0.76179874
rightEyebrowUpper,0.164805347,0.221543818,0.164525614,0.550874779
rightEyeLower3,0.131113271,0.100654834,0.136717509,0.368485614
leftEyeLower0,0.094864102,0.069158473,0.189708599,0.353731174
leftEyebrowUpper,0.121507306,0.10382919,0.127089996,0.352426492
rightEyeLower1,0.104033851,0.086055907,0.143714723,0.333804481
rightEyeUpper0,0.07030594,0.076573713,0.180430109,0.327309762
rightEyeLower0,0.100692134,0.060578609,0.160550001,0.321820744
leftEyeLower3,0.104343945,0.09244626,0.122949283,0.319739488
rightEyeLower2,0.110078037,0.064718693,0.140853422,0.315650152
rightEyeUpper2,0.103445319,0.068030493,0.128841176,0.300316988
leftEyeUpper1,0.077822316,0.03552508,0.185374343,0.298721739
leftEyeLower2,0.094555166,0.059997139,0.13928272,0.293835025
leftEyeLower1,0.090248562,0.093595332,0.108907063,0.292750957
leftEyeUpper2,0.090189172,0.057061906,0.130770372,0.27802145
rightEyebrowLower,0.081827622,0.070840046,0.115860332,0.268528
leftEyebrowLower,0.079327732,0.090015712,0.079579481,0.248922925
rightEyeUpper1,0.083077935,0.049845942,0.115162132,0.248086009
leftEyeUpper0,0.065802061,0.049927677,0.130766311,0.246496049
noseBottom,0.034436923,0.105552118,0.02163821,0.161627251
midwayBetweenEyes,0.02832705,0.101508431,0.018577306,0.148412787
noseRightCorner,0.030913851,0.05291384,0.028081408,0.111909099
noseLeftCorner,0.025876534,0.030783068,0.019161096,0.075820698
